2025/06/10 06:48:50 [notice] 1#1: using the "epoll" event method
2025/06/10 06:48:50 [notice] 1#1: nginx/1.27.5
2025/06/10 06:48:50 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/06/10 06:48:50 [notice] 1#1: OS: Linux 6.10.14-linuxkit
2025/06/10 06:48:50 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/06/10 06:48:50 [notice] 1#1: start worker processes
2025/06/10 06:48:50 [notice] 1#1: start worker process 16
2025/06/10 06:48:50 [notice] 1#1: start worker process 17
2025/06/10 06:48:50 [notice] 1#1: start worker process 18
2025/06/10 06:48:50 [notice] 1#1: start worker process 19
2025/06/10 06:48:50 [notice] 1#1: start worker process 20
2025/06/10 06:48:50 [notice] 1#1: start worker process 21
2025/06/10 06:48:50 [notice] 1#1: start worker process 22
2025/06/10 06:48:50 [notice] 1#1: start worker process 23
2025/06/10 06:48:50 [notice] 1#1: start worker process 24
2025/06/10 06:48:50 [notice] 1#1: start worker process 25
2025/06/10 06:48:50 [notice] 1#1: start worker process 26
2025/06/10 06:48:50 [notice] 1#1: start worker process 27
